iter	Passed	Remaining
0	3	356
1	6	329
2	9	306
3	11	279
4	14	273
5	17	273
6	21	279
7	23	269
8	25	260
9	28	254
10	30	248
11	32	241
12	35	235
13	37	229
14	39	223
15	41	217
16	42	209
17	44	203
18	46	197
19	47	191
20	49	184
21	50	178
22	51	173
23	53	167
24	54	162
25	55	157
26	56	153
27	57	149
28	59	144
29	60	140
30	61	137
31	62	133
32	64	130
33	65	126
34	66	123
35	67	120
36	68	117
37	70	114
38	71	111
39	72	108
40	73	106
41	74	102
42	75	99
43	76	97
44	77	95
45	78	92
46	80	90
47	81	88
48	82	85
49	83	83
50	84	81
51	86	79
52	87	77
53	88	75
54	89	73
55	90	71
56	91	69
57	93	67
58	94	65
59	95	63
60	96	61
61	97	60
62	99	58
63	100	56
64	101	54
65	102	53
66	104	51
67	105	49
68	106	47
69	107	46
70	108	44
71	109	42
72	111	41
73	112	39
74	113	37
75	114	36
76	115	34
77	116	32
78	118	31
79	119	29
80	120	28
81	121	26
82	122	25
83	123	23
84	125	22
85	126	20
86	127	19
87	128	17
88	129	16
89	131	14
90	132	13
91	133	11
92	134	10
93	135	8
94	137	7
95	138	5
96	139	4
97	140	2
98	141	1
99	142	0
